step:270/1390 train_time:646632ms step_avg:2394.93ms
step:271/1390 train_time:649026ms step_avg:2394.93ms
step:272/1390 train_time:651421ms step_avg:2394.93ms
step:273/1390 train_time:653816ms step_avg:2394.93ms
step:274/1390 train_time:656208ms step_avg:2394.92ms
step:275/1390 train_time:658602ms step_avg:2394.92ms
step:276/1390 train_time:660996ms step_avg:2394.91ms
step:277/1390 train_time:663390ms step_avg:2394.91ms
step:278/1390 train_time:665783ms step_avg:2394.90ms
step:279/1390 train_time:668177ms step_avg:2394.90ms
step:280/1390 train_time:670572ms step_avg:2394.90ms
step:281/1390 train_time:672966ms step_avg:2394.90ms
step:282/1390 train_time:675358ms step_avg:2394.89ms
step:283/1390 train_time:677753ms step_avg:2394.89ms
step:284/1390 train_time:680147ms step_avg:2394.89ms
step:285/1390 train_time:682542ms step_avg:2394.88ms
step:286/1390 train_time:684934ms step_avg:2394.88ms
step:287/1390 train_time:687329ms step_avg:2394.87ms
step:288/1390 train_time:689723ms step_avg:2394.87ms
step:289/1390 train_time:692118ms step_avg:2394.87ms
step:290/1390 train_time:694510ms step_avg:2394.86ms
step:291/1390 train_time:696904ms step_avg:2394.86ms
step:292/1390 train_time:699296ms step_avg:2394.85ms
step:293/1390 train_time:701692ms step_avg:2394.85ms
step:294/1390 train_time:704084ms step_avg:2394.84ms
step:295/1390 train_time:706478ms step_avg:2394.84ms
step:296/1390 train_time:708870ms step_avg:2394.83ms
step:297/1390 train_time:711267ms step_avg:2394.84ms
step:298/1390 train_time:713659ms step_avg:2394.83ms
step:299/1390 train_time:716053ms step_avg:2394.83ms
step:300/1390 train_time:718446ms step_avg:2394.82ms
step:300/1390 val_loss:4.3872 train_time:718546ms step_avg:2395.15ms
step:301/1390 train_time:720844ms step_avg:2394.83ms
step:302/1390 train_time:723236ms step_avg:2394.82ms
step:303/1390 train_time:725630ms step_avg:2394.82ms
step:304/1390 train_time:728023ms step_avg:2394.81ms
step:305/1390 train_time:730420ms step_avg:2394.82ms
step:306/1390 train_time:732812ms step_avg:2394.81ms
step:307/1390 train_time:735207ms step_avg:2394.81ms
step:308/1390 train_time:737599ms step_avg:2394.80ms
step:309/1390 train_time:740010ms step_avg:2394.85ms
step:310/1390 train_time:742408ms step_avg:2394.86ms
step:311/1390 train_time:744805ms step_avg:2394.87ms
step:312/1390 train_time:747199ms step_avg:2394.87ms
step:313/1390 train_time:749601ms step_avg:2394.89ms
step:314/1390 train_time:751997ms step_avg:2394.90ms
step:315/1390 train_time:754394ms step_avg:2394.90ms
step:316/1390 train_time:756788ms step_avg:2394.90ms
step:317/1390 train_time:759185ms step_avg:2394.91ms
step:318/1390 train_time:761588ms step_avg:2394.93ms
step:319/1390 train_time:763987ms step_avg:2394.94ms
step:320/1390 train_time:766380ms step_avg:2394.94ms
step:321/1390 train_time:768775ms step_avg:2394.94ms
step:322/1390 train_time:771170ms step_avg:2394.94ms
step:323/1390 train_time:773566ms step_avg:2394.94ms
step:324/1390 train_time:775959ms step_avg:2394.93ms
step:325/1390 train_time:778354ms step_avg:2394.94ms
step:326/1390 train_time:780749ms step_avg:2394.94ms
step:327/1390 train_time:783144ms step_avg:2394.94ms
step:328/1390 train_time:785537ms step_avg:2394.93ms
step:329/1390 train_time:787933ms step_avg:2394.93ms
step:330/1390 train_time:790338ms step_avg:2394.96ms
step:331/1390 train_time:792741ms step_avg:2394.99ms
step:332/1390 train_time:795138ms step_avg:2394.99ms
step:333/1390 train_time:797551ms step_avg:2395.05ms
step:334/1390 train_time:799953ms step_avg:2395.07ms
step:335/1390 train_time:802355ms step_avg:2395.09ms
step:336/1390 train_time:804762ms step_avg:2395.13ms
step:337/1390 train_time:807164ms step_avg:2395.15ms
step:338/1390 train_time:809569ms step_avg:2395.18ms
step:339/1390 train_time:811974ms step_avg:2395.20ms
step:340/1390 train_time:814377ms step_avg:2395.23ms
step:341/1390 train_time:816776ms step_avg:2395.24ms
step:342/1390 train_time:819171ms step_avg:2395.24ms
step:343/1390 train_time:821570ms step_avg:2395.25ms
step:344/1390 train_time:823964ms step_avg:2395.24ms
step:345/1390 train_time:826360ms step_avg:2395.25ms
step:346/1390 train_time:828755ms step_avg:2395.25ms
step:347/1390 train_time:831153ms step_avg:2395.25ms
step:348/1390 train_time:833548ms step_avg:2395.25ms
step:349/1390 train_time:835945ms step_avg:2395.26ms
step:350/1390 train_time:838339ms step_avg:2395.25ms
step:350/1390 val_loss:4.3207 train_time:838441ms step_avg:2395.55ms
step:351/1390 train_time:840741ms step_avg:2395.27ms
step:352/1390 train_time:843136ms step_avg:2395.27ms
step:353/1390 train_time:845533ms step_avg:2395.28ms
step:354/1390 train_time:847927ms step_avg:2395.27ms
step:355/1390 train_time:850326ms step_avg:2395.28ms
step:356/1390 train_time:852720ms step_avg:2395.28ms
step:357/1390 train_time:855117ms step_avg:2395.29ms
step:358/1390 train_time:857512ms step_avg:2395.28ms
step:359/1390 train_time:859908ms step_avg:2395.29ms
step:360/1390 train_time:862305ms step_avg:2395.29ms
step:361/1390 train_time:864702ms step_avg:2395.30ms
step:362/1390 train_time:867096ms step_avg:2395.29ms
step:363/1390 train_time:869493ms step_avg:2395.30ms
step:364/1390 train_time:871890ms step_avg:2395.30ms
step:365/1390 train_time:874287ms step_avg:2395.31ms
step:366/1390 train_time:876681ms step_avg:2395.30ms
step:367/1390 train_time:879079ms step_avg:2395.31ms
step:368/1390 train_time:881475ms step_avg:2395.31ms
step:369/1390 train_time:883871ms step_avg:2395.32ms
step:370/1390 train_time:886266ms step_avg:2395.31ms
step:371/1390 train_time:888662ms step_avg:2395.32ms
step:372/1390 train_time:891059ms step_avg:2395.32ms
step:373/1390 train_time:893455ms step_avg:2395.32ms
step:374/1390 train_time:895851ms step_avg:2395.32ms
step:375/1390 train_time:898247ms step_avg:2395.33ms
step:376/1390 train_time:900644ms step_avg:2395.33ms
step:377/1390 train_time:903041ms step_avg:2395.33ms
step:378/1390 train_time:905435ms step_avg:2395.33ms
